[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Launching server... 
[Trace]   PluginFactory         Created plugin 'MMOServerPlugin'.
[Trace]   ExtendedPluginManagerBase Plugin 'MMOServerPlugin' has requested that DarkRift operates in thread safe mode.
[Trace]   DarkRiftServer        Switched into thread safe mode. Expect lower performance!
[Info]    ExtendedPluginManagerBase Loaded plugin MMOServerPlugin version 0.0.1
[Trace]   PluginFactory         Created plugin 'BichannelListener'.
[Trace]   DefaultNetworkListener Starting bichannel listener.
[Info]    DefaultNetworkListener Server mounted, listening on port 4296.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59794.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:55287.
[Info]    ClientManager         New client [0] connected [127.0.0.1:59794|127.0.0.1:55287].
[Info]    MMOServerPlugin       Welcome adventurer, 0
[Info]    MMOServerPlugin       Position: 0.2859179, 0.4461316
[Info]    MMOServerPlugin       Position: 0.2859179, 0.4589239
[Info]    MMOServerPlugin       Position: 0.2859179, 0.4689434
[Info]    MMOServerPlugin       Position: 0.2859179, 0.4789444
[Info]    MMOServerPlugin       Position: 0.2859179, 0.4888677
[Info]    MMOServerPlugin       Position: 0.2859179, 0.4989067
[Info]    MMOServerPlugin       Position: 0.2859179, 0.5093987
[Info]    MMOServerPlugin       Position: 0.2859179, 0.5188727
[Info]    MMOServerPlugin       Position: 0.2859179, 0.5288679
[Info]    MMOServerPlugin       Position: 0.2859179, 0.5388869
[Info]    MMOServerPlugin       Position: 0.2859179, 0.5488582
[Info]    MMOServerPlugin       Position: 0.2859179, 0.5588692
[Info]    MMOServerPlugin       Position: 0.2859179, 0.5689312
[Info]    MMOServerPlugin       Position: 0.2859179, 0.5788527
[Info]    MMOServerPlugin       Position: 0.2859179, 0.5888826
[Info]    MMOServerPlugin       Position: 0.2859179, 0.5989004
[Info]    MMOServerPlugin       Position: 0.2859179, 0.6089006
[Info]    MMOServerPlugin       Position: 0.2859179, 0.6188893
[Info]    MMOServerPlugin       Position: 0.2859179, 0.6289713
[Info]    MMOServerPlugin       Position: 0.2859179, 0.6389399
[Info]    MMOServerPlugin       Position: 0.2859179, 0.6488729
[Info]    MMOServerPlugin       Position: 0.2859179, 0.6589291
[Info]    MMOServerPlugin       Position: 0.2859179, 0.6688679
[Info]    MMOServerPlugin       Position: 0.2859179, 0.6789074
[Info]    MMOServerPlugin       Position: 0.2859179, 0.6890264
[Info]    MMOServerPlugin       Position: 0.2859179, 0.6988859
[Info]    MMOServerPlugin       Position: 0.2859179, 0.7089149
[Info]    MMOServerPlugin       Position: 0.2859179, 0.7189599
[Info]    MMOServerPlugin       Position: 0.2859179, 0.7289082
[Info]    MMOServerPlugin       Position: 0.2859179, 0.7388944
[Info]    MMOServerPlugin       Position: 0.2859179, 0.7489409
[Info]    MMOServerPlugin       Position: 0.2859179, 0.7590032
[Info]    MMOServerPlugin       Position: 0.2859179, 0.7689196
[Info]    MMOServerPlugin       Position: 0.2859179, 0.7789531
[Info]    MMOServerPlugin       Position: 0.2859179, 0.7888981
[Info]    MMOServerPlugin       Position: 0.2859179, 0.7989169
[Info]    MMOServerPlugin       Position: 0.2859179, 0.8089321
[Info]    MMOServerPlugin       Position: 0.2859179, 0.8189186
[Info]    MMOServerPlugin       Position: 0.2859179, 0.8296539
[Info]    MMOServerPlugin       Position: 0.2859179, 0.8397024
[Info]    MMOServerPlugin       Position: 0.2859179, 0.8496802
[Info]    MMOServerPlugin       Position: 0.2859179, 0.8596562
[Info]    MMOServerPlugin       Position: 0.2859179, 0.8697237
[Info]    MMOServerPlugin       Position: 0.2859179, 0.87974
[Info]    MMOServerPlugin       Position: 0.2859179, 0.8901975
[Info]    MMOServerPlugin       Position: 0.2859179, 0.899725
[Info]    MMOServerPlugin       Position: 0.2859179, 0.9096748
[Info]    MMOServerPlugin       Position: 0.2859179, 0.919694
[Info]    MMOServerPlugin       Position: 0.2859179, 0.9297485
[Info]    MMOServerPlugin       Position: 0.2859179, 0.9397603
[Info]    MMOServerPlugin       Position: 0.2859179, 0.9497592
[Info]    MMOServerPlugin       Position: 0.2859179, 0.9597585
[Info]    MMOServerPlugin       Position: 0.2859179, 0.9698055
[Info]    MMOServerPlugin       Position: 0.2859179, 0.97971
[Info]    MMOServerPlugin       Position: 0.2859179, 0.9897556
[Info]    MMOServerPlugin       Position: 0.2859179, 0.9997048
[Info]    MMOServerPlugin       Position: 0.2859179, 1.009726
[Info]    MMOServerPlugin       Position: 0.2859179, 1.019853
[Info]    MMOServerPlugin       Position: 0.2859179, 1.02972
[Info]    MMOServerPlugin       Position: 0.2859179, 1.04831
[Info]    MMOServerPlugin       Position: 0.2859179, 1.058339
[Info]    MMOServerPlugin       Position: 0.2859179, 1.068221
[Info]    MMOServerPlugin       Position: 0.2859179, 1.07824
[Info]    MMOServerPlugin       Position: 0.2859179, 1.088297
[Info]    MMOServerPlugin       Position: 0.2859179, 1.098206
[Info]    MMOServerPlugin       Position: 0.2859179, 1.108267
[Info]    MMOServerPlugin       Position: 0.2859179, 1.118198
[Info]    MMOServerPlugin       Position: 0.2859179, 1.128265
[Info]    MMOServerPlugin       Position: 0.2859179, 1.138232
[Info]    MMOServerPlugin       Position: 0.2859179, 1.148771
[Info]    MMOServerPlugin       Position: 0.2859179, 1.15839
[Info]    MMOServerPlugin       Position: 0.2859179, 1.168391
[Info]    MMOServerPlugin       Position: 0.2859179, 1.178386
[Info]    MMOServerPlugin       Position: 0.2859179, 1.18857
[Info]    MMOServerPlugin       Position: 0.2859179, 1.198457
[Info]    MMOServerPlugin       Position: 0.2859179, 1.208372
[Info]    MMOServerPlugin       Position: 0.2859179, 1.220695
[Info]    MMOServerPlugin       Position: 0.2859179, 1.231468
[Info]    MMOServerPlugin       Position: 0.2859179, 1.241477
[Info]    MMOServerPlugin       Position: 0.2859179, 1.25153
[Info]    MMOServerPlugin       Position: 0.2859179, 1.261468
[Info]    MMOServerPlugin       Position: 0.2859179, 1.271465
[Info]    MMOServerPlugin       Position: 0.2859179, 1.281474
[Info]    MMOServerPlugin       Position: 0.2859179, 1.291484
[Info]    MMOServerPlugin       Position: 0.2859179, 1.30154
[Info]    MMOServerPlugin       Position: 0.2859179, 1.311448
[Info]    MMOServerPlugin       Position: 0.2859179, 1.321605
[Info]    MMOServerPlugin       Position: 0.2859179, 1.331726
[Info]    MMOServerPlugin       Position: 0.2859179, 1.341611
[Info]    MMOServerPlugin       Position: 0.2859179, 1.351683
[Info]    MMOServerPlugin       Position: 0.2859179, 1.361632
[Info]    MMOServerPlugin       Position: 0.2859179, 1.371642
[Info]    MMOServerPlugin       Position: 0.2859179, 1.381677
[Info]    MMOServerPlugin       Position: 0.2859179, 1.391648
[Info]    MMOServerPlugin       Position: 0.2859179, 1.401631
[Info]    MMOServerPlugin       Position: 0.2859179, 1.412178
[Info]    MMOServerPlugin       Position: 0.2859179, 1.421677
[Info]    MMOServerPlugin       Position: 0.2859179, 1.431682
[Info]    MMOServerPlugin       Position: 0.2859179, 1.441701
[Info]    MMOServerPlugin       Position: 0.2859179, 1.451659
[Info]    MMOServerPlugin       Position: 0.2859179, 1.461648
[Info]    MMOServerPlugin       Position: 0.2859179, 1.471648
[Info]    MMOServerPlugin       Position: 0.2859179, 1.481639
[Info]    MMOServerPlugin       Position: 0.2859179, 1.49168
[Info]    MMOServerPlugin       Position: 0.2859179, 1.50171
[Info]    MMOServerPlugin       Position: 0.2859179, 1.511667
[Info]    MMOServerPlugin       Position: 0.2859179, 1.52165
[Info]    MMOServerPlugin       Position: 0.2859179, 1.53171
[Info]    MMOServerPlugin       Position: 0.2859179, 1.541671
[Info]    MMOServerPlugin       Position: 0.2859179, 1.551754
[Info]    MMOServerPlugin       Position: 0.2859179, 1.562175
[Info]    MMOServerPlugin       Position: 0.2859179, 1.571728
[Info]    MMOServerPlugin       Position: 0.2859179, 1.581717
[Info]    MMOServerPlugin       Position: 0.2859179, 1.591753
[Info]    MMOServerPlugin       Position: 0.2859179, 1.601697
[Info]    MMOServerPlugin       Position: 0.2859179, 1.611739
[Info]    MMOServerPlugin       Position: 0.2859179, 1.621735
[Info]    MMOServerPlugin       Position: 0.2859179, 1.631725
[Info]    MMOServerPlugin       Position: 0.2859179, 1.641714
[Info]    MMOServerPlugin       Position: 0.2859179, 1.651804
[Info]    MMOServerPlugin       Position: 0.2859179, 1.662917
[Info]    MMOServerPlugin       Position: 0.2859179, 1.673405
[Info]    MMOServerPlugin       Position: 0.2859179, 1.683467
[Info]    MMOServerPlugin       Position: 0.2859179, 1.693431
[Info]    MMOServerPlugin       Position: 0.2859179, 1.703441
[Info]    MMOServerPlugin       Position: 0.2859179, 1.713438
[Info]    MMOServerPlugin       Position: 0.2859179, 1.723437
[Info]    MMOServerPlugin       Position: 0.2859179, 1.733436
[Info]    MMOServerPlugin       Position: 0.2859179, 1.743446
[Info]    MMOServerPlugin       Position: 0.2859179, 1.753445
[Info]    MMOServerPlugin       Position: 0.2859179, 1.763401
[Info]    MMOServerPlugin       Position: 0.2859179, 1.773466
[Info]    MMOServerPlugin       Position: 0.2859179, 1.783415
[Info]    MMOServerPlugin       Position: 0.2859179, 1.793925
[Info]    MMOServerPlugin       Position: 0.2859179, 1.803526
[Info]    MMOServerPlugin       Position: 0.2859179, 1.813571
[Info]    MMOServerPlugin       Position: 0.2859179, 1.823586
[Info]    MMOServerPlugin       Position: 0.2859179, 1.833517
[Info]    MMOServerPlugin       Position: 0.2859179, 1.843478
[Info]    MMOServerPlugin       Position: 0.2859179, 1.853633
[Info]    MMOServerPlugin       Position: 0.2859179, 1.86349
[Info]    MMOServerPlugin       Position: 0.2859179, 1.873505
[Info]    MMOServerPlugin       Position: 0.2859179, 1.88348
[Info]    MMOServerPlugin       Position: 0.2859179, 1.893493
[Info]    MMOServerPlugin       Position: 0.2859179, 1.903457
[Info]    MMOServerPlugin       Position: 0.2859179, 1.913471
[Info]    MMOServerPlugin       Position: 0.2859179, 1.923525
[Info]    MMOServerPlugin       Position: 0.2859179, 1.933471
[Info]    MMOServerPlugin       Position: 0.2859179, 1.943723
[Info]    MMOServerPlugin       Position: 0.2859179, 1.95368
[Info]    MMOServerPlugin       Position: 0.2859179, 1.963486
[Info]    MMOServerPlugin       Position: 0.2859179, 1.973473
[Info]    MMOServerPlugin       Position: 0.2859179, 1.983522
[Info]    MMOServerPlugin       Position: 0.2859179, 1.993563
[Info]    MMOServerPlugin       Position: 0.2859179, 2.003496
[Info]    MMOServerPlugin       Position: 0.2859179, 2.013553
[Info]    MMOServerPlugin       Position: 0.2859179, 2.023489
[Info]    MMOServerPlugin       Position: 0.2859179, 2.033702
[Info]    MMOServerPlugin       Position: 0.2859179, 2.054159
[Info]    MMOServerPlugin       Position: 0.2859179, 2.064076
[Info]    MMOServerPlugin       Position: 0.2859179, 2.074012
[Info]    MMOServerPlugin       Position: 0.2859179, 2.08412
[Info]    MMOServerPlugin       Position: 0.2859179, 2.094002
[Info]    MMOServerPlugin       Goodbye adventurer, 0
[Info]    ClientManager         Client [0] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59799.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:54269.
[Info]    ClientManager         New client [1] connected [127.0.0.1:59799|127.0.0.1:54269].
[Info]    MMOServerPlugin       Welcome adventurer, 1
[Info]    MMOServerPlugin       Goodbye adventurer, 1
[Info]    ClientManager         Client [1] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59805.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:51710.
