[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Spawning enemies... 
[Info]    MMOServerPlugin       Spawned enemy 0
[Info]    MMOServerPlugin       Spawned enemy 1
[Info]    MMOServerPlugin       Spawned enemy 2
[Info]    MMOServerPlugin       Spawned enemy 3
[Info]    MMOServerPlugin       Spawned enemy 4
[Info]    MMOServerPlugin       Spawned enemy 5
[Info]    MMOServerPlugin       Spawned enemy 6
[Info]    MMOServerPlugin       Spawned enemy 7
[Info]    MMOServerPlugin       Spawned enemy 8
[Info]    MMOServerPlugin       Spawned enemy 9
[Info]    MMOServerPlugin       Spawned enemy 10
[Info]    MMOServerPlugin       Spawned enemy 11
[Info]    MMOServerPlugin       Spawned enemy 12
[Info]    MMOServerPlugin       Spawned enemy 13
[Info]    MMOServerPlugin       Spawned enemy 14
[Info]    MMOServerPlugin       Spawned enemy 15
[Info]    MMOServerPlugin       Spawned enemy 16
[Info]    MMOServerPlugin       Spawned enemy 17
[Info]    MMOServerPlugin       Spawned enemy 18
[Info]    MMOServerPlugin       Spawned enemy 19
[Info]    MMOServerPlugin       Spawned enemy 20
[Info]    MMOServerPlugin       Spawned enemy 21
[Info]    MMOServerPlugin       Spawned enemy 22
[Info]    MMOServerPlugin       Spawned enemy 23
[Info]    MMOServerPlugin       Spawned enemy 24
[Info]    MMOServerPlugin       Spawned enemy 25
[Info]    MMOServerPlugin       Spawned enemy 26
[Info]    MMOServerPlugin       Spawned enemy 27
[Info]    MMOServerPlugin       Spawned enemy 28
[Info]    MMOServerPlugin       Spawned enemy 29
[Info]    MMOServerPlugin       Spawned enemy 30
[Info]    MMOServerPlugin       Spawned enemy 31
[Info]    MMOServerPlugin       Spawned enemy 32
[Info]    MMOServerPlugin       Spawned enemy 33
[Info]    MMOServerPlugin       Spawned enemy 34
[Info]    MMOServerPlugin       Spawned enemy 35
[Info]    MMOServerPlugin       Spawned enemy 36
